state,district,cycle,samples,n_low,n_med,n_high,p_low,p_med,p_high,k_low,k_med,k_high,oc_low,oc_med,oc_high,ph_acid,ph_neut,ph_alk,ec_saline,s_def,fe_def,zn_def,cu_def,b_def,mn_def
TAMIL NADU,TIRUVANNAMALAI,2025-26,25313,100,0,0,13,37,51,8,84,8,91,8,0,1,99,0,0,25,48,47,0,34,93
TAMIL NADU,TUTICORIN,2025-26,14698,100,0,0,25,66,9,1,4,95,98,2,0,1,96,3,0,40,88,80,2,95,8
TAMIL NADU,VELLORE,2025-26,6497,100,0,0,61,19,21,19,45,36,63,30,7,3,97,1,1,27,83,55,9,69,66
TAMIL NADU,VILLUPURAM,2025-26,17571,100,0,0,27,23,50,7,64,29,71,8,21,0,100,0,0,73,92,9,0,97,69
TAMIL NADU,VIRUDHUNAGAR,2025-26,13397,100,0,0,50,39,11,1,13,86,57,31,13,2,87,11,1,40,67,50,20,36,29
TAMIL NADU,Ariyalur,2025-26,8500,100,0,0,0,98,2,0,100,0,97,3,0,0,100,0,0,12,1,29,0,1,1
TAMIL NADU,TIRUPPUR,2025-26,13200,98,2,0,26,68,6,0,11,89,95,5,0,0,89,11,0,40,88,29,0,70,73
TAMIL NADU,KALLAKURICHI,2025-26,10001,100,0,0,27,37,36,21,52,27,82,18,0,2,98,1,1,49,20,49,1,55,14
TAMIL NADU,CHENGALPATTU,2025-26,7000,94,6,0,14,50,35,54,36,10,53,35,12,5,94,1,1,48,69,57,3,47,57
TAMIL NADU,Ranipet,2025-26,7090,100,0,0,0,47,52,23,77,0,93,7,1,0,100,0,0,17,100,4,0,82,93
TAMIL NADU,Tirupathur,2025-26,6260,100,0,0,14,47,39,20,51,29,90,10,0,0,98,1,1,44,79,42,4,44,41
TAMIL NADU,TENKASI,2025-26,6093,99,1,0,15,37,49,6,22,72,98,2,0,5,88,7,1,10,25,18,0,47,0
TAMIL NADU,Mayiladuthurai,2025-26,7475,100,0,0,41,37,21,20,32,48,67,24,9,1,95,4,4,56,0,83,14,95,1
